"id","qid1","qid2","question1","question2","is_duplicate"
1474,2949,2950,"What is operation quality?","What is the operation quality?","1"
1475,2951,2952,"Is it possible to root an iOS into an Android phone?","Is it possible to install iOS to an Android phone?","1"
1476,2953,2954,"What are some creative and innovative business ideas with less investment in India?","What are some best business ideas with minimum investment?","1"
1477,2955,2956,"Is it legal for traffic police to stand in the middle of the road to stop vehicles?","Is it legal for a traffic police to stand at the middle of the road to stop vehicles?","1"
1478,2957,2958,"Why is the European society ignoring the slaughter and the cruelty preformed in Arakan?","[Late 2015 / Early 2016] Why does the United Kingdom want to leave the European Union? Why do some people there want to quit the EU?","0"
1479,2959,2960,"What are the most clever hip-hop one liners of all time?","What are the hardest hip hop/rap songs of all time?","0"
1480,2961,2962,"Is it stealing if you steal from a thief?","Is it stealing if you're stealing from a thief?","1"
1481,2963,2964,"What is a ""quasi-contract""? What are some examples?","What are some examples of the essentials of a valid contract?","0"
1482,2965,2966,"What is more beneficial to learn, SolidWorks or Catia?","Are softwares like SolidWorks, CATIA and Pro E for different applications? Which is the best one? Why?","0"
1483,2967,2968,"Can i register a car that failed inspection?","I'm living in WA and looking to bring a muscle car from another state. The car has a bigger motor in it willthis mean that I can not register it here?","0"
1484,2969,2970,"Which is the best modular kitchen in india?","Which is the best modular kitchen in Bangalore?","0"
1485,2971,2972,"If a girl I'm dating calls me another name twice in a matter of 2 months, is it a bad sign?","In my late twenties, every time I start dating a girl, she will disappear after 1-2 months and stops answering calls/texts. What's going on?","0"
1486,2973,2974,"I had send my resume below.?","In a company, whom should I send my resume to?","0"
1487,2975,2976,"How do I know if a boy loves me?","How can I tell if my girlfriend really loves me?","0"
1488,2977,2978,"What is the difference between Shia and Shiite?","In what way is the Ismaili sect different from the other Shia groups?","0"
1489,2979,2980,"Tea: Is it dangerous to boil water in a plastic electric kettle?","Why should we avoid hot tea in plastic cup?","0"
1490,2981,2982,"How can I make a healthy home made pizza?","How can I make healthy pizza? Is there any recipe for it?","1"
1491,2983,2984,"What should one read to learn about philosophy?","What books can I read to learn more about philosophy?","1"
1492,2985,2986,"What does it cost to replace brakes on a bicycle?","What is the average cost to replace brakes and rotors?","0"
1493,2987,2988,"How will Hillary Clinton win over Bernie Sanders supporters?","2016 U.S. Presidential Election: Would Hillary Clinton supporters support Bernie Sanders if he won the nomination?","0"
1494,2989,2990,"What is the role of a sales officer at ICICI Bank?","Is ICICI Bank a good place to work?","0"
1495,2991,2992,"How do I set and unset a cookie using jQuery, for example create a cookie named 'someName' and set its value to 'someValue'?","I created a custom error handler for php and set it to be my error handler but I still get fatal errors displayed, how do I stop it?","0"
1496,2993,2994,"Is Zee news a BJP owned channel?","Why is ZEE News so anti-AAP?","1"
1497,2995,2996,"How does one deal with break up?","How can I deal with my first Break Up?","0"
1498,2997,2998,"I am a guy with chest size 38 and hip size 41. I want to reduce my hip size.What should I do?","What exercise can help to reduce the weight on my arms?","0"
1499,2999,3000,"How can I be a native English speaker?","How do I speak English like celebrities?","1"
1500,3001,3002,"How do you write a beautiful introduction to an essay?","How do I write the introduction of an essay?","1"
1501,3003,3004,"What do people from Myanmar think about Indians?","What do people think about Indian women?","0"
1502,3005,3006,"What are the best things to buy on Amazon?","What is the best thing I can buy for 2€ on Amazon?","0"
1503,3007,3008,"What side dishes go well with hamburgers?","What side dishes would go well with lamb chops?","0"
1504,3009,3010,"Where can I get best assistance in Sydney for any property purchasing?","Where can I get knowledgeable assistance for transfer of property in Sydney?","1"
1505,3011,3012,"Have you ever experienced anything supernatural or paranormal?","Is there a paranormal event that you have experienced, which science cannot explain?","0"
1506,3013,3014,"How can I improve digestion?","How can we improve our digestion?","1"
1507,3015,3016,"If I have a permanent retainer, do I need to wear the removable ones at all?","Is it safe to floss with permanent retainer?","0"
1508,3017,3018,"How can I Publish Theses on dentistry on International Library for thesis?","How can I Publish Theses on Education on International Library for thesis?","0"
1509,3019,3020,"What are some Cyanide and Happiness comics on countries?","What are the best Cyanide & Happiness comics?","1"
1510,3021,3022,"If 204=8, 503=13, 305=11 and 907=25, what is 705?","Why can I not multiply fractions in Python?","0"
1511,3023,3024,"What are the drawbacks of Network Address Translation (NAT) that are overcome by IP masquerading?","What does NAT stand for?","0"
1512,3025,3026,"If cold air is denser than hot air, then why does the temperature decrease as the altitude rises?","Physics: Why is polluted air denser than cold air?","0"
1513,3027,3028,"How do lymph nodes form?","What are lymph nodes?","0"
1514,3029,3030,"How can I buy Tesla shares / stock?","How do I buy stocks?","0"
1515,3031,3032,"In the world, we are second largest country in terms of population, but we win only very few medals in the Olympics. Why?","If India is the second largest in population, why do they not have Olympic medals like China or the US?","1"
1516,3033,3034,"What's your favourite meal?","What is your favourite meal and why?","1"
1517,3035,3036,"Where can I find a list of companys I could possibly buy stocks in?","I want to connect with you, how can I do that?","0"
1518,3037,3038,"Which pizzas are the most popularly ordered pizzas on Domino's menu?","How many calories does a Dominos pizza have?","0"
1519,3039,3040,"What is the power nine in magic?","What are the Power 9 cards in Magic: The Gathering?","0"
1520,3041,3042,"What are some good books for JEE Mains only?","What are the best books to practice for JEE mains only?","1"
1521,3043,3044,"Why are the Seven Wonders of the World referred to as Wonders?","What are the Seven Wonders of the World?","0"
1522,3045,3046,"When will I start the preparation of ilts?","How does one look up a thing in Diagnostic and Statistical Manual of Mental Disorders (DSM) if the book costs 250 dollars?","0"
1523,3047,3048,"How do you know if someone is doing black magic on you?","How do you know by looking at someone that they do black magic?","0"
1524,3049,3050,"What are the lyrics to ""Vivre Sans Temps Mort"" by Double Dagger?","What is your favorite top 10 list of “Sun” songs?","0"
1525,3051,3052,"In 2 days, how should I prepare for Mu Sigma?","What is the best way to prepare for Mu Sigma?","0"
1526,3053,3054,"Is MITID a good institute for filmmaking?","Is Edupristine a good institute for SAP Learning?","0"
1527,3055,3056,"Is it defeatist to stop the war on drugs?","What can we do to stop the war on drugs?","0"
1528,3057,3058,"What's it like to find a picture of you, friends, or family on a ""funny/awkward"" photo site?","What a picture or photo that makes you think a lot when you see it?","0"
1529,3059,3060,"What are the disadvantages of using Firebase as backend for mobile app?","Which is better to create backend for mobile web app, Stamplay or Firebase?","0"
1530,3061,3062,"How long will the Pokémon GO ""fever"" will last?","How long you thing this Pokémon GO trend will last?","1"
1531,3063,3064,"How do I my epf account no I have my uan?","How do I reset my password, If I have forgot it & also have no access to the email associated with my Quora account?","0"
